TRANSACTION_DATE,DAY_NAME,DAY_CLASSIFICATION,MONTH_NAME,TRANSACTION_TIME,TIME_CLASSIFICATION,HOUR_OF_DAY,STORE_LOCATION,PRODUCT_CATEGORY,PRODUCT_DETAIL,PRODUCT_TYPE,NUMBER_OF_SALES,REVENUE
1/1/2023,Sun,Weekend,Jan,41:53.0,Morning,10,Lower Manhattan,Drinking Chocolate,Dark chocolate Lg,Hot chocolate,1,4.5
1/1/2023,Sun,Weekend,Jan,29:57.0,Morning,11,Hell's Kitchen,Coffee,Jamaican Coffee River Rg,Premium brewed coffee,1,6.2
1/1/2023,Sun,Weekend,Jan,31:43.0,Morning,11,Lower Manhattan,Bakery,Ginger Scone,Scone,1,3.25
1/1/2023,Sun,Weekend,Jan,48:56.0,Morning,11,Hell's Kitchen,Tea,Earl Grey Rg,Brewed Black tea,1,5
1/1/2023,Sun,Weekend,Jan,51:30.0,Morning,11,Hell's Kitchen,Coffee,Ethiopia Lg,Gourmet brewed coffee,1,7
1/1/2023,Sun,Weekend,Jan,17:38.0,Afternoon,12,Hell's Kitchen,Tea,Earl Grey Rg,Brewed Black tea,1,5
1/1/2023,Sun,Weekend,Jan,55:25.0,Afternoon,12,Astoria,Tea,English Breakfast Lg,Brewed Black tea,1,3
1/1/2023,Sun,Weekend,Jan,55:53.0,Afternoon,12,Hell's Kitchen,Coffee,Brazilian Rg,Organic brewed coffee,1,6
1/1/2023,Sun,Weekend,Jan,00:38.0,Afternoon,13,Lower Manhattan,Coffee,Columbian Medium Roast Lg,Gourmet brewed coffee,1,6
1/1/2023,Sun,Weekend,Jan,04:01.0,Afternoon,13,Hell's Kitchen,Bakery,Ginger Scone,Scone,1,3.25
1/1/2023,Sun,Weekend,Jan,44:26.0,Afternoon,13,Astoria,Tea,Spicy Eye Opener Chai Lg,Brewed Chai tea,1,3.1
1/1/2023,Sun,Weekend,Jan,50:09.0,Afternoon,13,Lower Manhattan,Tea,Traditional Blend Chai Lg,Brewed Chai tea,1,3
1/1/2023,Sun,Weekend,Jan,57:34.0,Afternoon,13,Lower Manhattan,Bakery,Chocolate Croissant,Pastry,1,3.75
1/1/2023,Sun,Weekend,Jan,58:10.0,Afternoon,13,Astoria,Tea,Serenity Green Tea Rg,Brewed Green tea,1,5
1/1/2023,Sun,Weekend,Jan,03:34.0,Afternoon,14,Lower Manhattan,Bakery,Hazelnut Biscotti,Biscotti,1,3.25
1/1/2023,Sun,Weekend,Jan,08:03.0,Afternoon,14,Hell's Kitchen,Bakery,Chocolate Croissant,Pastry,1,3.75
1/1/2023,Sun,Weekend,Jan,19:57.0,Afternoon,14,Lower Manhattan,Coffee,Our Old Time Diner Blend Rg,Drip coffee,1,5
1/1/2023,Sun,Weekend,Jan,22:01.0,Afternoon,14,Hell's Kitchen,Tea,English Breakfast Lg,Brewed Black tea,1,6
1/1/2023,Sun,Weekend,Jan,24:55.0,Afternoon,14,Astoria,Bakery,Jumbo Savory Scone,Scone,1,3.75
1/1/2023,Sun,Weekend,Jan,25:39.0,Afternoon,14,Lower Manhattan,Coffee,Our Old Time Diner Blend Lg,Drip coffee,1,6
1/1/2023,Sun,Weekend,Jan,36:35.0,Afternoon,14,Lower Manhattan,Tea,Spicy Eye Opener Chai Lg,Brewed Chai tea,1,3.1
1/1/2023,Sun,Weekend,Jan,46:09.0,Afternoon,14,Hell's Kitchen,Tea,English Breakfast Rg,Brewed Black tea,1,2.5
1/1/2023,Sun,Weekend,Jan,58:35.0,Afternoon,14,Astoria,Tea,Lemon Grass Lg,Brewed herbal tea,1,3
1/1/2023,Sun,Weekend,Jan,18:56.0,Afternoon,15,Astoria,Drinking Chocolate,Sustainably Grown Organic Lg,Hot chocolate,1,4.75
1/1/2023,Sun,Weekend,Jan,21:05.0,Afternoon,15,Hell's Kitchen,Coffee,Columbian Medium Roast Lg,Gourmet brewed coffee,1,6
1/1/2023,Sun,Weekend,Jan,03:30.0,Afternoon,16,Astoria,Coffee,Jamaican Coffee River Sm,Premium brewed coffee,1,4.9
1/1/2023,Sun,Weekend,Jan,04:10.0,Afternoon,16,Astoria,Tea,Lemon Grass Rg,Brewed herbal tea,1,5
1/1/2023,Sun,Weekend,Jan,19:26.0,Afternoon,16,Lower Manhattan,Coffee,Cappuccino,Barista Espresso,1,7.5
1/1/2023,Sun,Weekend,Jan,20:07.0,Afternoon,16,Astoria,Coffee,Jamaican Coffee River Lg,Premium brewed coffee,1,7.5
1/1/2023,Sun,Weekend,Jan,47:05.0,Afternoon,16,Lower Manhattan,Bakery,Ginger Scone,Scone,1,3.25
1/1/2023,Sun,Weekend,Jan,05:44.0,Evening,17,Astoria,Coffee,Jamaican Coffee River Lg,Premium brewed coffee,1,7.5
1/1/2023,Sun,Weekend,Jan,18:36.0,Evening,17,Astoria,Coffee,Columbian Medium Roast Rg,Gourmet brewed coffee,1,2.5
1/1/2023,Sun,Weekend,Jan,19:11.0,Evening,17,Hell's Kitchen,Coffee,Latte Rg,Barista Espresso,1,8.5
1/1/2023,Sun,Weekend,Jan,23:03.0,Evening,17,Lower Manhattan,Tea,English Breakfast Rg,Brewed Black tea,1,2.5
1/1/2023,Sun,Weekend,Jan,25:57.0,Evening,18,Hell's Kitchen,Tea,Lemon Grass Lg,Brewed herbal tea,1,3
1/1/2023,Sun,Weekend,Jan,34:03.0,Evening,19,Hell's Kitchen,Tea,Lemon Grass Lg,Brewed herbal tea,1,3
1/2/2023,Mon,Weekday,Jan,59:47.0,Morning,7,Lower Manhattan,Bakery,Croissant,Pastry,1,3.5
1/2/2023,Mon,Weekday,Jan,20:38.0,Morning,8,Lower Manhattan,Tea,Peppermint Rg,Brewed herbal tea,1,5
1/2/2023,Mon,Weekday,Jan,29:47.0,Morning,9,Hell's Kitchen,Coffee,Our Old Time Diner Blend Sm,Drip coffee,1,4
1/2/2023,Mon,Weekday,Jan,56:28.0,Morning,9,Hell's Kitchen,Coffee,Cappuccino Lg,Barista Espresso,1,8.5
1/2/2023,Mon,Weekday,Jan,01:57.0,Morning,10,Hell's Kitchen,Drinking Chocolate,Sustainably Grown Organic Lg,Hot chocolate,1,4.75
1/2/2023,Mon,Weekday,Jan,13:55.0,Morning,10,Lower Manhattan,Bakery,Jumbo Savory Scone,Scone,1,3.75
1/2/2023,Mon,Weekday,Jan,49:58.0,Morning,10,Hell's Kitchen,Coffee,Ethiopia Rg,Gourmet brewed coffee,1,3
1/2/2023,Mon,Weekday,Jan,14:15.0,Morning,11,Astoria,Coffee,Ethiopia Rg,Gourmet brewed coffee,1,6
1/2/2023,Mon,Weekday,Jan,56:26.0,Morning,11,Hell's Kitchen,Coffee,Columbian Medium Roast Sm,Gourmet brewed coffee,1,2
1/2/2023,Mon,Weekday,Jan,23:30.0,Afternoon,12,Astoria,Bakery,Scottish Cream Scone ,Scone,1,4.5
1/2/2023,Mon,Weekday,Jan,30:43.0,Afternoon,12,Astoria,Tea,Earl Grey Rg,Brewed Black tea,1,5
1/2/2023,Mon,Weekday,Jan,54:53.0,Afternoon,12,Lower Manhattan,Tea,Traditional Blend Chai Rg,Brewed Chai tea,1,5
1/2/2023,Mon,Weekday,Jan,02:03.0,Afternoon,13,Astoria,Coffee,Brazilian Lg,Organic brewed coffee,1,7
1/1/2023,Sun,Weekend,Jan,08:28.0,Afternoon,15,Astoria,Tea,Lemon Grass Lg,Brewed herbal tea,1,6
1/1/2023,Sun,Weekend,Jan,12:54.0,Afternoon,15,Astoria,Tea,Traditional Blend Chai Rg,Brewed Chai tea,1,5
1/1/2023,Sun,Weekend,Jan,30:58.0,Afternoon,15,Lower Manhattan,Coffee,Jamaican Coffee River Sm,Premium brewed coffee,1,2.45
1/1/2023,Sun,Weekend,Jan,30:12.0,Afternoon,16,Astoria,Coffee,Cappuccino,Barista Espresso,1,3.75
1/1/2023,Sun,Weekend,Jan,52:51.0,Afternoon,16,Lower Manhattan,Tea,Earl Grey Rg,Brewed Black tea,1,2.5
1/1/2023,Sun,Weekend,Jan,19:28.0,Evening,17,Hell's Kitchen,Coffee,Columbian Medium Roast Sm,Gourmet brewed coffee,1,4
1/1/2023,Sun,Weekend,Jan,23:04.0,Evening,17,Astoria,Coffee,Cappuccino Lg,Barista Espresso,1,4.25
1/1/2023,Sun,Weekend,Jan,49:04.0,Evening,17,Hell's Kitchen,Drinking Chocolate,Sustainably Grown Organic Rg,Hot chocolate,1,7.5
1/1/2023,Sun,Weekend,Jan,56:46.0,Evening,17,Hell's Kitchen,Coffee,Columbian Medium Roast Lg,Gourmet brewed coffee,1,3
1/1/2023,Sun,Weekend,Jan,59:44.0,Evening,17,Hell's Kitchen,Tea,Traditional Blend Chai Lg,Brewed Chai tea,1,6
1/1/2023,Sun,Weekend,Jan,21:22.0,Evening,18,Astoria,Tea,Serenity Green Tea Rg,Brewed Green tea,1,2.5
1/1/2023,Sun,Weekend,Jan,22:48.0,Evening,18,Lower Manhattan,Coffee,Espresso shot,Barista Espresso,1,6
1/1/2023,Sun,Weekend,Jan,27:08.0,Evening,18,Lower Manhattan,Tea,Morning Sunrise Chai Rg,Brewed Chai tea,1,5
1/1/2023,Sun,Weekend,Jan,43:19.0,Evening,18,Astoria,Tea,Spicy Eye Opener Chai Lg,Brewed Chai tea,1,3.1
1/1/2023,Sun,Weekend,Jan,24:18.0,Evening,19,Hell's Kitchen,Tea,Serenity Green Tea Rg,Brewed Green tea,1,2.5
1/1/2023,Sun,Weekend,Jan,57:56.0,Evening,19,Astoria,Coffee,Jamaican Coffee River Rg,Premium brewed coffee,1,3.1
1/2/2023,Mon,Weekday,Jan,06:29.0,Morning,9,Lower Manhattan,Coffee,Ethiopia Lg,Gourmet brewed coffee,1,3.5
1/2/2023,Mon,Weekday,Jan,07:31.0,Morning,9,Lower Manhattan,Coffee,Espresso shot,Barista Espresso,1,6
1/2/2023,Mon,Weekday,Jan,12:47.0,Morning,9,Lower Manhattan,Coffee,Ethiopia Sm,Gourmet brewed coffee,1,4.4
1/2/2023,Mon,Weekday,Jan,01:06.0,Morning,11,Lower Manhattan,Tea,English Breakfast Rg,Brewed Black tea,1,5
1/2/2023,Mon,Weekday,Jan,32:11.0,Morning,11,Hell's Kitchen,Tea,Serenity Green Tea Lg,Brewed Green tea,1,6
1/2/2023,Mon,Weekday,Jan,35:02.0,Morning,11,Astoria,Tea,English Breakfast Lg,Brewed Black tea,1,3
1/2/2023,Mon,Weekday,Jan,42:36.0,Morning,11,Hell's Kitchen,Tea,Peppermint Lg,Brewed herbal tea,1,6
1/2/2023,Mon,Weekday,Jan,58:49.0,Morning,11,Hell's Kitchen,Coffee,Jamaican Coffee River Rg,Premium brewed coffee,1,6.2
1/2/2023,Mon,Weekday,Jan,24:39.0,Afternoon,12,Lower Manhattan,Bakery,Hazelnut Biscotti,Biscotti,1,3.25
1/2/2023,Mon,Weekday,Jan,42:47.0,Afternoon,12,Hell's Kitchen,Drinking Chocolate,Sustainably Grown Organic Rg,Hot chocolate,1,3.75
1/2/2023,Mon,Weekday,Jan,55:19.0,Afternoon,12,Astoria,Tea,Traditional Blend Chai Rg,Brewed Chai tea,1,2.5
1/1/2023,Sun,Weekend,Jan,09:54.0,Evening,19,Hell's Kitchen,Coffee,Cappuccino Lg,Barista Espresso,1,4.25
1/2/2023,Mon,Weekday,Jan,48:26.0,Morning,7,Lower Manhattan,Coffee,Cappuccino Lg,Barista Espresso,1,4.25
1/2/2023,Mon,Weekday,Jan,10:17.0,Afternoon,13,Hell's Kitchen,Coffee,Ethiopia Lg,Gourmet brewed coffee,1,3.5
1/2/2023,Mon,Weekday,Jan,10:17.0,Afternoon,13,Hell's Kitchen,Bakery,Scottish Cream Scone ,Scone,1,4.5
1/2/2023,Mon,Weekday,Jan,10:41.0,Afternoon,13,Hell's Kitchen,Tea,Lemon Grass Lg,Brewed herbal tea,1,6
1/2/2023,Mon,Weekday,Jan,14:54.0,Afternoon,13,Lower Manhattan,Coffee,Ethiopia Sm,Gourmet brewed coffee,1,4.4
1/2/2023,Mon,Weekday,Jan,34:02.0,Afternoon,13,Hell's Kitchen,Coffee,Our Old Time Diner Blend Rg,Drip coffee,1,2.5
1/2/2023,Mon,Weekday,Jan,35:24.0,Afternoon,13,Lower Manhattan,Coffee,Ethiopia Rg,Gourmet brewed coffee,1,6
1/2/2023,Mon,Weekday,Jan,40:11.0,Afternoon,13,Astoria,Coffee,Latte Rg,Barista Espresso,1,4.25
1/2/2023,Mon,Weekday,Jan,53:04.0,Afternoon,13,Hell's Kitchen,Bakery,Jumbo Savory Scone,Scone,1,3.75
1/2/2023,Mon,Weekday,Jan,55:38.0,Afternoon,13,Hell's Kitchen,Bakery,Chocolate Croissant,Pastry,1,3.75
1/2/2023,Mon,Weekday,Jan,58:30.0,Afternoon,13,Astoria,Coffee,Jamaican Coffee River Lg,Premium brewed coffee,1,7.5
1/2/2023,Mon,Weekday,Jan,58:36.0,Afternoon,13,Astoria,Coffee,Latte Rg,Barista Espresso,1,4.25
1/2/2023,Mon,Weekday,Jan,02:44.0,Afternoon,14,Astoria,Coffee,Our Old Time Diner Blend Sm,Drip coffee,1,4
1/2/2023,Mon,Weekday,Jan,05:27.0,Afternoon,14,Lower Manhattan,Tea,Spicy Eye Opener Chai Rg,Brewed Chai tea,1,2.55
1/2/2023,Mon,Weekday,Jan,08:49.0,Afternoon,14,Astoria,Coffee,Cappuccino,Barista Espresso,1,3.75
1/2/2023,Mon,Weekday,Jan,12:00.0,Afternoon,14,Hell's Kitchen,Tea,Serenity Green Tea Rg,Brewed Green tea,1,2.5
1/2/2023,Mon,Weekday,Jan,26:33.0,Afternoon,14,Hell's Kitchen,Coffee,Jamaican Coffee River Lg,Premium brewed coffee,1,3.75
1/2/2023,Mon,Weekday,Jan,44:28.0,Afternoon,14,Lower Manhattan,Tea,Traditional Blend Chai Rg,Brewed Chai tea,1,5
1/2/2023,Mon,Weekday,Jan,48:05.0,Afternoon,14,Lower Manhattan,Coffee,Cappuccino Lg,Barista Espresso,1,4.25
1/2/2023,Mon,Weekday,Jan,51:11.0,Afternoon,14,Astoria,Coffee,Jamaican Coffee River Lg,Premium brewed coffee,1,3.75
1/2/2023,Mon,Weekday,Jan,52:26.0,Afternoon,14,Lower Manhattan,Tea,Serenity Green Tea Rg,Brewed Green tea,1,2.5
1/2/2023,Mon,Weekday,Jan,58:28.0,Afternoon,14,Hell's Kitchen,Tea,Serenity Green Tea Rg,Brewed Green tea,1,5
1/2/2023,Mon,Weekday,Jan,59:08.0,Afternoon,14,Hell's Kitchen,Coffee,Columbian Medium Roast Lg,Gourmet brewed coffee,1,3
1/2/2023,Mon,Weekday,Jan,04:21.0,Afternoon,15,Astoria,Coffee,Our Old Time Diner Blend Rg,Drip coffee,1,5
1/2/2023,Mon,Weekday,Jan,21:45.0,Afternoon,15,Astoria,Tea,Serenity Green Tea Lg,Brewed Green tea,1,6
1/2/2023,Mon,Weekday,Jan,23:29.0,Afternoon,15,Hell's Kitchen,Tea,Peppermint Lg,Brewed herbal tea,1,6
1/2/2023,Mon,Weekday,Jan,26:22.0,Afternoon,15,Lower Manhattan,Tea,Lemon Grass Rg,Brewed herbal tea,1,5
1/2/2023,Mon,Weekday,Jan,26:22.0,Afternoon,15,Lower Manhattan,Bakery,Hazelnut Biscotti,Biscotti,1,3.25
1/2/2023,Mon,Weekday,Jan,27:48.0,Afternoon,15,Astoria,Coffee,Cappuccino Lg,Barista Espresso,1,4.25
1/2/2023,Mon,Weekday,Jan,28:35.0,Afternoon,15,Lower Manhattan,Coffee,Ouro Brasileiro shot,Barista Espresso,1,6
1/2/2023,Mon,Weekday,Jan,35:30.0,Afternoon,15,Lower Manhattan,Bakery,Cranberry Scone,Scone,1,3.25
1/2/2023,Mon,Weekday,Jan,41:55.0,Afternoon,15,Lower Manhattan,Tea,Serenity Green Tea Lg,Brewed Green tea,1,6
1/2/2023,Mon,Weekday,Jan,44:59.0,Afternoon,15,Astoria,Tea,Peppermint Rg,Brewed herbal tea,1,5
1/2/2023,Mon,Weekday,Jan,52:14.0,Afternoon,15,Lower Manhattan,Coffee,Jamaican Coffee River Sm,Premium brewed coffee,1,4.9
1/2/2023,Mon,Weekday,Jan,55:27.0,Afternoon,15,Lower Manhattan,Tea,Spicy Eye Opener Chai Rg,Brewed Chai tea,1,5.1
1/2/2023,Mon,Weekday,Jan,02:21.0,Afternoon,16,Lower Manhattan,Tea,Peppermint Rg,Brewed herbal tea,1,2.5
1/2/2023,Mon,Weekday,Jan,11:57.0,Afternoon,16,Hell's Kitchen,Coffee,Brazilian Rg,Organic brewed coffee,1,6
1/2/2023,Mon,Weekday,Jan,12:01.0,Afternoon,16,Hell's Kitchen,Tea,Serenity Green Tea Lg,Brewed Green tea,1,6
1/2/2023,Mon,Weekday,Jan,14:09.0,Afternoon,16,Lower Manhattan,Coffee,Columbian Medium Roast Lg,Gourmet brewed coffee,1,3
1/2/2023,Mon,Weekday,Jan,19:33.0,Afternoon,16,Astoria,Coffee,Latte,Barista Espresso,1,3.75
1/2/2023,Mon,Weekday,Jan,26:38.0,Afternoon,16,Astoria,Coffee,Brazilian Sm,Organic brewed coffee,1,2.2
1/2/2023,Mon,Weekday,Jan,28:26.0,Afternoon,16,Hell's Kitchen,Coffee,Jamaican Coffee River Lg,Premium brewed coffee,1,3.75
1/2/2023,Mon,Weekday,Jan,30:05.0,Afternoon,16,Lower Manhattan,Coffee,Our Old Time Diner Blend Rg,Drip coffee,1,2.5
1/2/2023,Mon,Weekday,Jan,30:07.0,Afternoon,16,Astoria,Bakery,Ginger Biscotti,Biscotti,1,3.5
1/2/2023,Mon,Weekday,Jan,43:04.0,Afternoon,16,Astoria,Coffee,Jamaican Coffee River Sm,Premium brewed coffee,1,4.9
1/2/2023,Mon,Weekday,Jan,56:14.0,Afternoon,16,Hell's Kitchen,Coffee,Cappuccino Lg,Barista Espresso,1,4.25
1/2/2023,Mon,Weekday,Jan,17:00.0,Evening,17,Astoria,Tea,Traditional Blend Chai Lg,Brewed Chai tea,1,6
1/2/2023,Mon,Weekday,Jan,18:25.0,Evening,17,Lower Manhattan,Coffee,Ethiopia Rg,Gourmet brewed coffee,1,6
1/2/2023,Mon,Weekday,Jan,20:14.0,Evening,17,Hell's Kitchen,Tea,Serenity Green Tea Rg,Brewed Green tea,1,2.5
1/2/2023,Mon,Weekday,Jan,28:13.0,Evening,17,Hell's Kitchen,Coffee,Columbian Medium Roast Rg,Gourmet brewed coffee,1,2.5
1/2/2023,Mon,Weekday,Jan,29:42.0,Evening,17,Hell's Kitchen,Tea,Peppermint Rg,Brewed herbal tea,1,2.5
1/2/2023,Mon,Weekday,Jan,29:42.0,Evening,17,Hell's Kitchen,Bakery,Chocolate Croissant,Pastry,1,3.75
1/2/2023,Mon,Weekday,Jan,24:23.0,Evening,18,Hell's Kitchen,Coffee,Jamaican Coffee River Sm,Premium brewed coffee,1,4.9
1/2/2023,Mon,Weekday,Jan,30:06.0,Evening,18,Astoria,Coffee,Jamaican Coffee River Lg,Premium brewed coffee,1,7.5
1/2/2023,Mon,Weekday,Jan,40:50.0,Evening,18,Hell's Kitchen,Drinking Chocolate,Sustainably Grown Organic Lg,Hot chocolate,1,9.5
1/2/2023,Mon,Weekday,Jan,54:10.0,Evening,18,Astoria,Coffee,Our Old Time Diner Blend Rg,Drip coffee,1,5
1/2/2023,Mon,Weekday,Jan,01:16.0,Evening,19,Astoria,Tea,English Breakfast Rg,Brewed Black tea,1,2.5
1/2/2023,Mon,Weekday,Jan,14:55.0,Evening,19,Hell's Kitchen,Coffee,Latte Rg,Barista Espresso,1,8.5
1/2/2023,Mon,Weekday,Jan,14:55.0,Evening,19,Hell's Kitchen,Bakery,Cranberry Scone,Scone,1,3.25
1/2/2023,Mon,Weekday,Jan,18:07.0,Evening,19,Hell's Kitchen,Tea,Spicy Eye Opener Chai Lg,Brewed Chai tea,1,3.1
1/2/2023,Mon,Weekday,Jan,46:07.0,Evening,19,Hell's Kitchen,Bakery,Ginger Biscotti,Biscotti,1,3.5
1/3/2023,Tue,Weekday,Jan,28:53.0,Morning,8,Hell's Kitchen,Drinking Chocolate,Sustainably Grown Organic Rg,Hot chocolate,1,7.5
1/3/2023,Tue,Weekday,Jan,32:12.0,Morning,8,Hell's Kitchen,Bakery,Scottish Cream Scone ,Scone,1,4.5
1/3/2023,Tue,Weekday,Jan,34:35.0,Morning,8,Hell's Kitchen,Coffee,Ouro Brasileiro shot,Barista Espresso,1,3
1/3/2023,Tue,Weekday,Jan,40:50.0,Morning,8,Hell's Kitchen,Bakery,Ginger Scone,Scone,1,3.25
1/3/2023,Tue,Weekday,Jan,56:41.0,Morning,8,Lower Manhattan,Drinking Chocolate,Dark chocolate Lg,Hot chocolate,1,9
1/3/2023,Tue,Weekday,Jan,18:30.0,Morning,9,Hell's Kitchen,Coffee,Our Old Time Diner Blend Sm,Drip coffee,1,2
1/3/2023,Tue,Weekday,Jan,33:20.0,Morning,9,Hell's Kitchen,Tea,Lemon Grass Rg,Brewed herbal tea,1,2.5
1/3/2023,Tue,Weekday,Jan,19:53.0,Morning,10,Lower Manhattan,Coffee,Jamaican Coffee River Sm,Premium brewed coffee,1,2.45
1/3/2023,Tue,Weekday,Jan,30:42.0,Morning,10,Lower Manhattan,Tea,Earl Grey Rg,Brewed Black tea,1,5
1/3/2023,Tue,Weekday,Jan,54:16.0,Morning,10,Lower Manhattan,Coffee,Latte Rg,Barista Espresso,1,8.5
1/3/2023,Tue,Weekday,Jan,08:16.0,Morning,11,Astoria,Coffee,Jamaican Coffee River Lg,Premium brewed coffee,1,7.5
1/3/2023,Tue,Weekday,Jan,27:36.0,Morning,11,Hell's Kitchen,Tea,Serenity Green Tea Rg,Brewed Green tea,1,2.5
1/3/2023,Tue,Weekday,Jan,32:49.0,Morning,11,Hell's Kitchen,Tea,Serenity Green Tea Lg,Brewed Green tea,1,3
1/3/2023,Tue,Weekday,Jan,33:44.0,Morning,11,Lower Manhattan,Bakery,Croissant,Pastry,1,3.5
1/3/2023,Tue,Weekday,Jan,42:48.0,Morning,11,Astoria,Coffee,Cappuccino,Barista Espresso,1,7.5
1/3/2023,Tue,Weekday,Jan,20:44.0,Afternoon,12,Lower Manhattan,Tea,Serenity Green Tea Lg,Brewed Green tea,1,6
1/3/2023,Tue,Weekday,Jan,45:07.0,Afternoon,12,Astoria,Tea,Earl Grey Lg,Brewed Black tea,1,3
1/3/2023,Tue,Weekday,Jan,56:02.0,Afternoon,12,Hell's Kitchen,Tea,Earl Grey Rg,Brewed Black tea,1,5
1/3/2023,Tue,Weekday,Jan,13:33.0,Afternoon,13,Astoria,Coffee,Espresso shot,Barista Espresso,1,6
1/3/2023,Tue,Weekday,Jan,20:01.0,Afternoon,13,Astoria,Coffee,Our Old Time Diner Blend Rg,Drip coffee,1,5
1/3/2023,Tue,Weekday,Jan,45:54.0,Afternoon,13,Astoria,Tea,Lemon Grass Lg,Brewed herbal tea,1,6
1/3/2023,Tue,Weekday,Jan,57:28.0,Afternoon,13,Hell's Kitchen,Tea,Spicy Eye Opener Chai Lg,Brewed Chai tea,1,3.1
1/3/2023,Tue,Weekday,Jan,18:47.0,Afternoon,14,Lower Manhattan,Coffee,Jamaican Coffee River Rg,Premium brewed coffee,1,6.2
1/3/2023,Tue,Weekday,Jan,23:54.0,Afternoon,14,Hell's Kitchen,Tea,Lemon Grass Rg,Brewed herbal tea,1,5
1/3/2023,Tue,Weekday,Jan,24:01.0,Afternoon,14,Hell's Kitchen,Coffee,Our Old Time Diner Blend Rg,Drip coffee,1,5
1/3/2023,Tue,Weekday,Jan,30:24.0,Afternoon,14,Astoria,Coffee,Brazilian Lg,Organic brewed coffee,1,7
1/3/2023,Tue,Weekday,Jan,48:23.0,Afternoon,14,Lower Manhattan,Tea,Spicy Eye Opener Chai Rg,Brewed Chai tea,1,5.1
